question;answer;retrieved_sources;retrieved_chunk_ids
What year where there most casualties from man-made disasters in the recorded data?;2002. In that year more than 10,000 casualties are ascribed to man-made catastrophes.;swissre_sigma-1_2024_english.md#79 (0.201) | swissre_sigma-1_2024_english.md#72 (0.162) | swissre_sigma-1_2024_english.md#81 (0.123);1039,1032,1041
In what year did the quantity of man-made disasters peak in the recorded data between 1970 and 2023?;Man-made disasters peaked in 2005;swissre_sigma-1_2024_english.md#72 (0.227) | swissre_sigma-1_2024_english.md#73 (0.178) | swissre_sigma-1_2024_english.md#79 (0.150);1032,1033,1039
Between 1970 and 2023 what year in the data shows the largest number of natural catastrophes?;2023.  There were 218 instances of natural catastrophes.;swissre_sigma-1_2024_english.md#72 (0.218) | swissre_sigma-1_2024_english.md#73 (0.146) | swissre_sigma-1_2024_english.md#21 (0.144);1032,1033,981
What year between 1994 and 2023 had the most high severity ($5 billion in damages or more) natural catastrophes?;2011 with 6.;swissre_sigma-1_2024_english.md#23 (0.316) | swissre_sigma-1_2024_english.md#22 (0.270) | swissre_sigma-1_2024_english.md#21 (0.255);983,982,981
How much higher are the 2023 insured losses than the previous 10 year average?;They are higher by 21%.;swissre_sigma-1_2024_english.md#16 (0.303) | swissre_sigma-1_2024_english.md#12 (0.261) | swissre_sigma-1_2024_english.md#21 (0.217) | swissre_sigma-1_2024_english.md#4 (0.192) | swissre_sigma-1_2024_english.md#14 (0.186) | swissre_sigma-1_2024_english.md#1 (0.177);976,972,981,964,974,961
Which figure shows the trend in insured losses over data from 1994 to 2023? In this figure, what is the highest insured loss year on record?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#20 (0.197) | swissre_sigma-1_2024_english.md#33 (0.194) | natural-catastrophe-and-climate-report-2023.md#25 (0.188) | swissre_sigma-1_2024_english.md#27 (0.183) | swissre_sigma-1_2024_english.md#7 (0.179) | swissre_sigma-1_2024_english.md#19 (0.178);980,993,843,987,967,979
Before 2023, what was the highest year on record for European Severe Convective Storm losses?;Not found in the retrieved context.;natural-catastrophe-and-climate-report-2023.md#18 (0.185) | swissre_sigma-1_2024_english.md#77 (0.182) | natural-catastrophe-and-climate-report-2023.md#79 (0.181) | natural-catastrophe-and-climate-report-2023.md#22 (0.158) | swissre_sigma-1_2024_english.md#2 (0.156) | swissre_sigma-1_2024_english.md#30 (0.156);836,1037,897,840,962,990
What regions does the Swiss Re report on natural catastrophes split the US into for severe convective storm risk?;Not found in the retrieved context.;natural-catastrophe-and-climate-report-2023.md#18 (0.182) | natural-catastrophe-and-climate-report-2023.md#22 (0.170) | swissre_sigma-1_2024_english.md#77 (0.153);836,840,1037
What is the highest Benefit to Cost ratio building code element described in the Swiss Re report on natural catastrophes?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#64 (0.258) | swissre_sigma-1_2024_english.md#65 (0.122) | swissre_sigma-1_2024_english.md#79 (0.095);1024,1025,1039
According to the Swiss Re Institute report on natural catastrophes, 2017 was a standout year in terms of insured loss damages. What were the names of the weather events which contributed most to this figure?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#20 (0.211) | swissre_sigma-1_2024_english.md#26 (0.200) | swissre_sigma-1_2024_english.md#19 (0.184) | natural-catastrophe-and-climate-report-2023.md#22 (0.166) | swissre_sigma-1_2024_english.md#11 (0.165) | swissre_sigma-1_2024_english.md#24 (0.161);980,986,979,840,971,984
