question;answer;retrieved_sources;retrieved_chunk_ids
What year where there most casualties from man-made disasters in the recorded data?;2002. In that year more than 10,000 casualties are ascribed to man-made catastrophes.;swissre_sigma-1_2024_english.md#72 (0.579) | swissre_sigma-1_2024_english.md#73 (0.571) | swissre_sigma-1_2024_english.md#74 (0.565) | natural-catastrophe-and-climate-report-2023.md#135 (0.527) | swissre_sigma-1_2024_english.md#79 (0.484) | natural-catastrophe-and-climate-report-2023.md#134 (0.475);1032,1033,1034,953,1039,952
In what year did the quantity of man-made disasters peak in the recorded data between 1970 and 2023?;Man-made disasters peaked in 2005;swissre_sigma-1_2024_english.md#72 (0.609) | swissre_sigma-1_2024_english.md#73 (0.553) | swissre_sigma-1_2024_english.md#19 (0.552) | swissre_sigma-1_2024_english.md#74 (0.551) | natural-catastrophe-and-climate-report-2023.md#5 (0.542) | natural-catastrophe-and-climate-report-2023.md#135 (0.540);1032,1033,979,1034,823,953
Between 1970 and 2023 what year in the data shows the largest number of natural catastrophes?;2023.  There were 218 instances of natural catastrophes.;swissre_sigma-1_2024_english.md#72 (0.642) | swissre_sigma-1_2024_english.md#19 (0.608) | natural-catastrophe-and-climate-report-2023.md#135 (0.608) | natural-catastrophe-and-climate-report-2023.md#5 (0.604) | swissre_sigma-1_2024_english.md#73 (0.595) | natural-catastrophe-and-climate-report-2023.md#18 (0.593);1032,979,953,823,1033,836
What year between 1994 and 2023 had the most high severity ($5 billion in damages or more) natural catastrophes?;2011 with 6.;natural-catastrophe-and-climate-report-2023.md#18 (0.655) | swissre_sigma-1_2024_english.md#22 (0.647) | natural-catastrophe-and-climate-report-2023.md#5 (0.642) | swissre_sigma-1_2024_english.md#5 (0.640) | natural-catastrophe-and-climate-report-2023.md#17 (0.632) | swissre_sigma-1_2024_english.md#21 (0.627);836,982,823,965,835,981
How much higher are the 2023 insured losses than the previous 10 year average?;They are higher by 21%.;swissre_sigma-1_2024_english.md#12 (0.650) | swissre_sigma-1_2024_english.md#19 (0.633) | swissre_sigma-1_2024_english.md#25 (0.629) | natural-catastrophe-and-climate-report-2023.md#25 (0.627) | natural-catastrophe-and-climate-report-2023.md#21 (0.626) | swissre_sigma-1_2024_english.md#20 (0.614);972,979,985,843,839,980
Which figure shows the trend in insured losses over data from 1994 to 2023? In this figure, what is the highest insured loss year on record?;Figure 4 shows the trend in insured losses from 1994 to 2023. The highest insured loss year on record in this figure is **2022** with **USD 133 billion** (inflation-adjusted).;swissre_sigma-1_2024_english.md#20 (0.637) | natural-catastrophe-and-climate-report-2023.md#25 (0.630) | swissre_sigma-1_2024_english.md#25 (0.623) | swissre_sigma-1_2024_english.md#19 (0.619) | natural-catastrophe-and-climate-report-2023.md#21 (0.613) | swissre_sigma-1_2024_english.md#12 (0.605);980,843,985,979,839,972
Before 2023, what was the highest year on record for European Severe Convective Storm losses?;Not found in the retrieved context.;natural-catastrophe-and-climate-report-2023.md#81 (0.625) | swissre_sigma-1_2024_english.md#30 (0.620) | swissre_sigma-1_2024_english.md#16 (0.601) | swissre_sigma-1_2024_english.md#2 (0.598) | swissre_sigma-1_2024_english.md#18 (0.594) | swissre_sigma-1_2024_english.md#7 (0.588);899,990,976,962,978,967
What regions does the Swiss Re report on natural catastrophes split the US into for severe convective storm risk?;The Swiss Re report splits the US into six regions for severe convective storm risk: **Rockies, Midwest, West, Northeast, Central, and Southeast** (see Figure 12).;swissre_sigma-1_2024_english.md#34 (0.661) | swissre_sigma-1_2024_english.md#77 (0.610) | swissre_sigma-1_2024_english.md#30 (0.584) | swissre_sigma-1_2024_english.md#24 (0.568) | swissre_sigma-1_2024_english.md#32 (0.553) | swissre_sigma-1_2024_english.md#33 (0.547);994,1037,990,984,992,993
What is the highest Benefit to Cost ratio building code element described in the Swiss Re report on natural catastrophes?;Earthquake-resistant building codes have the highest benefit-cost ratio at **12:1**.;swissre_sigma-1_2024_english.md#65 (0.571) | swissre_sigma-1_2024_english.md#61 (0.531) | swissre_sigma-1_2024_english.md#64 (0.482) | swissre_sigma-1_2024_english.md#79 (0.467) | swissre_sigma-1_2024_english.md#24 (0.455) | swissre_sigma-1_2024_english.md#83 (0.453);1025,1021,1024,1039,984,1043
According to the Swiss Re Institute report on natural catastrophes, 2017 was a standout year in terms of insured loss damages. What were the names of the weather events which contributed most to this figure?;Not found in the retrieved context.;swissre_sigma-1_2024_english.md#20 (0.683) | swissre_sigma-1_2024_english.md#0 (0.665) | swissre_sigma-1_2024_english.md#19 (0.646) | swissre_sigma-1_2024_english.md#24 (0.642) | swissre_sigma-1_2024_english.md#80 (0.637) | natural-catastrophe-and-climate-report-2023.md#22 (0.636);980,960,979,984,1040,840
